Time,HeadingRadian,HeadingDegree,Mx,My,Mz
0,4.05,232.24,-133,-103,265
1,4.08,233.48,-131,-97,259
2,4.07,233.27,-130,-97,257
3,4.07,233.06,-129,-97,258
4,4.07,233.27,-130,-97,259
5,4.08,233.56,-130,-96,256
6,4.08,233.97,-132,-96,257
7,4.07,233.06,-129,-97,258
8,4.07,233.27,-130,-97,259
9,4.08,233.69,-132,-97,258
10,4.07,232.99,-130,-98,259
11,4.08,233.62,-133,-98,260
12,4.15,237.74,-141,-89,249
13,4.1,234.67,-134,-95,269
14,4.1,234.81,-139,-98,268
15,4.09,234.42,-137,-98,271
16,4.09,234.22,-136,-98,269
17,4.2,240.88,-149,-83,254
18,4.12,235.93,-139,-94,262
19,4.16,238.63,-146,-89,268
20,4.18,239.55,-148,-87,274
21,4.19,239.84,-148,-86,278
22,4.17,238.76,-150,-91,281
23,4.16,238.13,-148,-92,287
24,4.18,239.43,-149,-88,293
25,4.17,239.04,-145,-87,295
26,4.17,238.98,-143,-86,297
27,4.18,239.22,-141,-84,296
28,4.18,239.34,-140,-83,296
29,4.17,239.04,-135,-81,293
30,4.15,237.76,-130,-82,291
31,4.15,237.87,-129,-81,290
32,4.13,236.83,-127,-83,289
33,4.13,236.62,-129,-85,290
34,4.12,236,-126,-85,288
35,4.11,235.68,-126,-86,290
36,4.09,234.2,-122,-88,280
37,4.06,232.9,-119,-90,277
38,4.09,234.51,-122,-87,284
39,4.1,235.19,-128,-89,285
40,4.09,234.59,-128,-91,285
41,4.1,234.92,-131,-92,287
42,4.07,233.35,-125,-93,282
43,4.06,232.77,-125,-95,280
44,4.05,232.09,-122,-95,278
45,4.07,233.28,-122,-91,277
46,4.05,232.16,-121,-94,275
47,4.04,231.76,-118,-93,274
48,4.05,232.06,-118,-92,272
49,4.04,231.52,-117,-93,271
50,4.04,231.34,-115,-92,270
51,4.05,231.89,-116,-91,269
52,4.05,232.33,-114,-88,268
53,4.05,232.33,-114,-88,270
54,4.09,234.09,-116,-84,268
55,4.1,234.74,-116,-82,266
56,4.11,235.74,-116,-79,264
57,4.11,235.28,-114,-79,264
58,4.12,236.2,-115,-77,263
59,4.13,236.53,-118,-78,264
60,4.13,236.53,-121,-80,267
61,4.1,235.01,-120,-84,271
62,4.09,234.6,-121,-86,273
63,4.06,232.74,-117,-89,272
64,4.06,232.43,-117,-90,272
65,4.07,233.2,-123,-92,275
66,4.06,232.91,-123,-93,277
67,4.07,232.98,-122,-92,276
68,4.07,233.13,-124,-93,278
69,4.03,230.82,-119,-97,275
70,4,229.05,-121,-105,279
71,4,229.44,-125,-107,280
72,3.98,228.17,-124,-111,279
73,4,228.95,-124,-108,281
74,4.02,230.19,-126,-105,278
75,4.03,230.84,-124,-101,278
76,4.02,230.43,-121,-100,278
77,4.01,229.55,-122,-104,279
78,3.96,226.69,-122,-115,273
79,4.01,229.74,-124,-105,277
80,4.01,229.78,-123,-104,276
81,4.05,231.97,-124,-97,276
82,4.08,233.71,-128,-94,277
83,4.11,235.4,-129,-89,274
84,4.15,237.53,-132,-84,278
85,4.15,237.61,-134,-85,279
86,4.17,238.85,-134,-81,280
87,4.17,238.85,-134,-81,277
88,4.2,240.8,-136,-76,278
89,4.25,243.43,-140,-70,276
90,4.27,244.86,-147,-69,275
91,4.32,247.51,-157,-65,281
92,4.33,248.07,-159,-64,282
93,4.32,247.46,-159,-66,280
94,4.31,246.89,-157,-67,280
95,4.3,246.14,-156,-69,277
96,4.32,247.58,-160,-66,277
97,4.34,248.38,-164,-65,278
98,4.33,247.9,-165,-67,279
99,4.31,246.89,-157,-67,278
100,4.29,245.94,-159,-71,276
101,4.3,246.2,-161,-71,275
102,4.29,245.87,-163,-73,270
103,4.31,247.21,-169,-71,275
104,4.3,246.56,-173,-75,273
