Time,,,,,,Lidar1,Lidar2
0,,,,,,83,231
1,,,,,,82,232
2,,,,,,81,229
3,,,,,,83,228
4,,,,,,83,227
5,,,,,,80,227
6,,,,,,84,231
7,,,,,,82,226
8,,,,,,83,232
9,,,,,,80,226
10,,,,,,79,230
11,,,,,,81,232
12,,,,,,84,227
13,,,,,,82,232
14,,,,,,80,228
15,,,,,,80,232
16,,,,,,82,232
17,,,,,,80,228
18,,,,,,81,230
19,,,,,,82,225
20,,,,,,82,228
21,,,,,,81,228
22,,,,,,82,229
23,,,,,,78,229
24,,,,,,81,230
25,,,,,,82,231
26,,,,,,80,232
27,,,,,,82,220
28,,,,,,82,231
29,,,,,,83,227
30,,,,,,81,225
31,,,,,,82,233
32,,,,,,82,224
33,,,,,,82,228
34,,,,,,80,234
35,,,,,,80,235
36,,,,,,83,237
37,,,,,,82,233
38,,,,,,80,235
39,,,,,,81,238
40,,,,,,82,235
41,,,,,,82,233
42,,,,,,80,236
43,,,,,,82,238
44,,,,,,81,230
45,,,,,,83,234
46,,,,,,81,239
47,,,,,,84,230
48,,,,,,82,233
49,,,,,,80,236
50,,,,,,83,238
51,,,,,,83,234
52,,,,,,82,232
53,,,,,,80,236
54,,,,,,81,232
55,,,,,,82,235
56,,,,,,83,235
57,,,,,,84,237
58,,,,,,79,234
59,,,,,,83,235
60,,,,,,83,233
61,,,,,,82,231
62,,,,,,83,232
63,,,,,,82,235
64,,,,,,80,236
65,,,,,,79,234
66,,,,,,81,231
67,,,,,,84,229
68,,,,,,80,233
69,,,,,,82,233
70,,,,,,84,233
71,,,,,,83,229
72,,,,,,81,235
73,,,,,,83,232
74,,,,,,81,232
75,,,,,,79,233
76,,,,,,84,234
77,,,,,,81,236
78,,,,,,79,228
79,,,,,,82,226
80,,,,,,82,227
81,,,,,,80,237
82,,,,,,81,227
83,,,,,,80,223
84,,,,,,83,208
85,,,,,,81,200
86,,,,,,83,198
87,,,,,,80,195
88,,,,,,79,188
89,,,,,,83,191
90,,,,,,82,146
91,,,,,,80,87
92,,,,,,83,80
93,,,,,,81,70
94,,,,,,83,67
95,,,,,,82,69
96,,,,,,82,70
97,,,,,,81,67
98,,,,,,84,68
99,,,,,,84,69
100,,,,,,81,71
101,,,,,,80,69
102,,,,,,82,71
103,,,,,,82,70
104,,,,,,82,70
105,,,,,,83,70
106,,,,,,81,70
107,,,,,,84,69
108,,,,,,80,72
109,,,,,,81,69
110,,,,,,81,71
111,,,,,,81,70
112,,,,,,84,67
113,,,,,,81,71
114,,,,,,82,71
115,,,,,,81,70
116,,,,,,83,71
117,,,,,,82,72
118,,,,,,82,76
119,,,,,,81,78
120,,,,,,83,74
121,,,,,,82,76
122,,,,,,83,73
123,,,,,,81,79
124,,,,,,83,76
125,,,,,,82,76
126,,,,,,82,79
127,,,,,,83,77
128,,,,,,80,79
129,,,,,,81,84
130,,,,,,82,81
131,,,,,,83,90
132,,,,,,80,102
133,,,,,,87,108
134,,,,,,81,118
135,,,,,,81,113
136,,,,,,80,114
137,,,,,,78,118
138,,,,,,79,120
139,,,,,,83,124
140,,,,,,82,128
141,,,,,,83,123
142,,,,,,84,124
143,,,,,,83,128
144,,,,,,84,124
145,,,,,,83,126
146,,,,,,79,133
147,,,,,,83,136
148,,,,,,84,132
149,,,,,,84,120
150,,,,,,83,97
151,,,,,,82,82
152,,,,,,83,79
153,,,,,,82,75
154,,,,,,82,75
155,,,,,,81,73
156,,,,,,82,70
157,,,,,,83,72
158,,,,,,81,74
159,,,,,,81,70
160,,,,,,83,68
161,,,,,,82,68
162,,,,,,82,68
163,,,,,,82,71
164,,,,,,83,69
165,,,,,,80,65
166,,,,,,80,61
167,,,,,,80,55
168,,,,,,81,61
169,,,,,,81,70
170,,,,,,83,54
171,,,,,,82,58
172,,,,,,82,47
173,,,,,,81,79
174,,,,,,82,52
175,,,,,,82,54
176,,,,,,80,67
177,,,,,,81,67
178,,,,,,82,74
